,ID,Pin-code,age,Fam members,Education,T.Experience,Income,Mortgage,Fixed Deposit,Demat,Net Banking,Loan
47,100048,110011,35,4.0,Post Graduate,12.0,1552000,1688000,yes,yes,yes,yes
48,100049,110001,54,2.0,Post Graduate,26.0,648000,0,no,no,no,no
49,100050,110014,38,1.0,Under Graduate,16.0,392000,0,no,no,no,no
50,100051,110004,30,4.0,Graduate,8.0,64000,0,no,yes,yes,no
51,100052,110011,59,1.0,Under Graduate,37.0,1048000,0,no,no,yes,no
52,100053,110014,28,1.0,Under Graduate,6.0,576000,1656000,no,no,no,no
53,100054,110011,48,3.0,Post Graduate,26.0,1520000,1920000,no,no,yes,yes
54,100055,110001,27,1.0,Post Graduate,5.0,352000,0,no,no,yes,no
55,100056,110003,39,2.0,Under Graduate,17.0,1112000,0,no,no,yes,no
56,100057,110014,53,3.0,Graduate,30.0,232000,0,yes,yes,yes,no
57,100058,110003,54,2.0,Post Graduate,31.0,1048000,0,no,no,no,yes
58,100059,110004,26,2.0,Under Graduate,2.0,744000,0,no,no,no,no
59,100060,110011,29,2.0,Under Graduate,5.0,1504000,3640000,no,no,no,no
60,100061,110004,47,3.0,Graduate,24.0,312000,0,no,yes,yes,no
61,100062,110001,45,1.0,Under Graduate,21.0,1000000,896000,no,yes,no,no
62,100063,110011,40,1.0,Under Graduate,18.0,176000,0,no,no,no,no
63,100064,110004,40,4.0,Graduate,17.0,256000,0,no,no,yes,no
64,100065,110011,45,2.0,Under Graduate,23.0,840000,0,no,no,no,no
65,100066,110011,57,1.0,Under Graduate,35.0,1048000,0,no,no,yes,no
66,100067,110001,60,2.0,Under Graduate,36.0,840000,2688000,no,no,no,no
67,100068,110003,51,4.0,Post Graduate,23.0,360000,1056000,no,yes,no,no
68,100069,110011,45,3.0,Under Graduate,21.0,480000,0,no,no,yes,no
69,100070,110011,51,4.0,Under Graduate,29.0,160000,0,no,no,yes,no
70,100071,110014,40,1.0,Under Graduate,18.0,920000,0,no,no,no,no
71,100072,110014,51,4.0,Graduate,29.0,552000,0,no,no,yes,no
72,100073,110014,42,1.0,Under Graduate,20.0,1040000,0,no,no,no,no
73,100074,110004,39,1.0,Post Graduate,16.0,680000,0,no,no,yes,no
74,100075,110003,26,2.0,Under Graduate,3.0,1080000,0,no,no,no,no
75,100076,110001,29,4.0,Graduate,7.0,1080000,0,yes,no,yes,yes
76,100077,110014,56,3.0,Post Graduate,32.0,96000,0,no,no,no,no
77,100078,110001,44,3.0,Graduate,20.0,232000,0,no,no,no,no
78,100079,110004,52,2.0,Post Graduate,30.0,1064000,0,no,no,no,yes
79,100080,110004,48,2.0,Under Graduate,26.0,152000,944000,no,no,yes,no
80,100081,110011,58,4.0,Under Graduate,36.0,328000,1392000,no,no,yes,no
81,100082,110011,45,3.0,Graduate,22.0,320000,0,no,no,yes,no
82,100083,110014,39,1.0,Post Graduate,16.0,656000,0,no,no,yes,no
83,100084,110001,31,1.0,Graduate,9.0,400000,0,no,no,no,no
84,100085,110004,44,1.0,Post Graduate,22.0,144000,0,no,no,yes,no
85,100086,110011,25,4.0,Post Graduate,2.0,872000,0,no,no,no,no
86,100087,110014,38,4.0,Graduate,16.0,336000,1008000,no,no,no,no
87,100088,110003,46,3.0,Under Graduate,22.0,624000,0,no,no,yes,no
88,100089,110003,63,2.0,Under Graduate,41.0,408000,0,no,no,yes,no
89,100090,110014,23,4.0,Post Graduate,-1.0,904000,0,no,no,no,no
90,100091,110004,53,4.0,Graduate,30.0,944000,0,no,no,yes,yes
91,100092,110004,33,4.0,Post Graduate,10.0,232000,0,no,no,yes,no
92,100093,110014,41,3.0,Graduate,19.0,272000,0,no,no,no,no
93,100094,110011,58,2.0,Post Graduate,34.0,512000,1888000,no,yes,yes,no
94,100095,110004,63,1.0,Under Graduate,39.0,968000,0,no,no,no,no
95,100096,110004,36,4.0,Post Graduate,12.0,384000,0,no,no,yes,no
96,100097,110001,39,1.0,Under Graduate,15.0,640000,0,no,no,no,no
97,100098,110014,52,1.0,Under Graduate,28.0,1288000,0,no,no,yes,no
98,100099,110004,47,1.0,Under Graduate,23.0,752000,0,no,no,yes,no
99,1000100,110003,64,3.0,Post Graduate,41.0,120000,0,no,no,yes,no
100,1000101,110014,46,1.0,Under Graduate,23.0,592000,0,no,no,yes,no
101,1000102,110014,59,3.0,Graduate,36.0,240000,0,no,no,no,no
102,1000103,110003,51,3.0,Post Graduate,23.0,352000,1584000,no,no,yes,no
103,1000104,110001,41,2.0,Graduate,18.0,176000,0,no,no,yes,no
104,1000105,110004,54,4.0,Under Graduate,32.0,304000,1328000,no,no,yes,no
105,1000106,110014,22,3.0,Graduate,0.0,280000,0,no,yes,yes,no
106,1000107,110014,41,4.0,Under Graduate,17.0,552000,0,no,no,yes,no
107,1000108,110014,40,1.0,Under Graduate,18.0,344000,1088000,no,no,no,no
108,1000109,110011,31,1.0,Post Graduate,7.0,256000,1328000,no,no,yes,no
109,1000110,110001,41,1.0,Under Graduate,17.0,392000,0,no,no,yes,no
110,1000111,110014,39,3.0,Graduate,14.0,72000,0,no,no,no,no
111,1000112,110004,60,4.0,Graduate,38.0,360000,0,no,no,yes,no
112,1000113,110011,38,3.0,Under Graduate,15.0,656000,2472000,no,no,no,no
113,1000114,110001,56,2.0,Under Graduate,34.0,736000,824000,no,no,no,no
114,1000115,110001,37,3.0,Post Graduate,14.0,312000,0,no,no,yes,no
115,1000116,110011,63,3.0,Graduate,40.0,648000,0,no,no,yes,no
116,1000117,110011,52,1.0,Graduate,29.0,280000,0,no,no,yes,no
117,1000118,110001,56,2.0,Post Graduate,33.0,488000,1544000,no,no,yes,no
118,1000119,110014,39,3.0,Under Graduate,16.0,584000,0,no,no,yes,no
119,1000120,110003,30,1.0,Under Graduate,7.0,896000,2928000,no,no,no,no
120,1000121,110004,52,2.0,Post Graduate,29.0,96000,0,no,no,yes,no
121,1000122,110004,50,3.0,Post Graduate,26.0,304000,0,no,no,yes,no
122,1000123,110014,56,2.0,Graduate,32.0,584000,0,no,no,yes,no
123,1000124,110003,35,1.0,Graduate,13.0,672000,0,no,yes,no,no
124,1000125,110011,37,4.0,Under Graduate,15.0,624000,944000,no,no,yes,no
125,1000126,110001,58,3.0,Under Graduate,35.0,640000,0,no,no,yes,no
126,1000127,110001,29,2.0,Under Graduate,5.0,920000,808000,no,no,yes,no
127,1000128,110003,32,1.0,Graduate,8.0,656000,2008000,no,no,yes,no
128,1000129,110004,36,2.0,Under Graduate,14.0,592000,0,no,yes,yes,no
129,1000130,110004,39,3.0,Post Graduate,16.0,560000,0,no,no,no,no
130,1000131,110011,26,3.0,Under Graduate,4.0,648000,2208000,no,no,yes,no
131,1000132,110004,56,4.0,Graduate,34.0,1192000,0,yes,no,yes,yes
132,1000133,110011,29,2.0,Post Graduate,1.0,408000,0,no,no,no,no
133,1000134,110003,28,3.0,Graduate,4.0,312000,0,no,no,yes,no
134,1000135,110004,51,3.0,Graduate,29.0,784000,0,no,no,no,no
135,1000136,110003,56,4.0,Under Graduate,33.0,360000,0,no,no,yes,no
136,1000137,110011,57,4.0,Graduate,32.0,392000,0,no,no,yes,no
137,1000138,110014,47,2.0,Under Graduate,25.0,1024000,0,no,no,no,no
138,1000139,110001,57,3.0,Under Graduate,34.0,336000,0,yes,yes,no,no
139,1000140,110004,57,1.0,Post Graduate,35.0,144000,0,no,no,yes,no
140,1000141,110014,49,2.0,Post Graduate,25.0,248000,1288000,no,no,yes,no
141,1000142,110003,33,3.0,Under Graduate,11.0,464000,1192000,no,no,yes,no
142,1000143,110014,31,1.0,Post Graduate,9.0,384000,0,no,no,no,no
143,1000144,110001,23,4.0,Under Graduate,1.0,432000,0,no,no,yes,no
144,1000145,110004,47,2.0,Graduate,23.0,560000,0,no,no,no,no
145,1000146,110003,57,1.0,Under Graduate,35.0,992000,0,no,no,no,no
146,1000147,110014,44,1.0,Graduate,19.0,672000,0,no,no,yes,no
147,1000148,110003,48,4.0,Post Graduate,25.0,664000,1504000,no,no,yes,no
148,1000149,110014,50,2.0,Under Graduate,28.0,1304000,928000,no,no,yes,no
149,1000150,110014,46,3.0,Graduate,22.0,336000,0,no,no,no,no
150,1000151,110004,44,2.0,Under Graduate,22.0,944000,0,yes,no,yes,no
151,1000152,110011,24,3.0,Post Graduate,0.0,1056000,0,no,no,no,yes
152,1000153,110014,55,1.0,Under Graduate,32.0,192000,0,no,no,yes,no
153,1000154,110003,58,2.0,Under Graduate,36.0,176000,0,yes,yes,yes,no
154,1000155,110011,52,4.0,Post Graduate,29.0,464000,0,no,no,no,no
155,1000156,110004,22,4.0,Under Graduate,0.0,480000,0,no,no,yes,no
156,1000157,110004,24,4.0,Under Graduate,0.0,120000,0,no,no,no,no
157,1000158,110004,39,4.0,Under Graduate,17.0,664000,0,no,no,yes,no
158,1000159,110001,30,2.0,Post Graduate,6.0,632000,0,no,no,yes,no
159,1000160,110003,59,4.0,Graduate,35.0,328000,0,no,yes,yes,no
160,1000161,110014,27,4.0,Post Graduate,0.0,1072000,0,no,no,no,yes
161,1000162,110011,59,2.0,Under Graduate,35.0,640000,0,no,no,yes,no
162,1000163,110003,36,1.0,Under Graduate,12.0,416000,0,no,no,no,no
163,1000164,110003,26,4.0,Under Graduate,4.0,560000,0,no,no,yes,no
164,1000165,110014,51,2.0,Under Graduate,27.0,736000,0,no,yes,no,no
165,1000166,110014,25,1.0,Under Graduate,1.0,344000,0,no,no,yes,no
166,1000167,110001,23,3.0,Graduate,1.0,168000,0,no,no,no,no
167,1000168,110014,31,3.0,Post Graduate,9.0,184000,0,no,no,yes,no
168,1000169,110004,48,4.0,Under Graduate,26.0,104000,0,no,no,yes,no
169,1000170,110003,25,4.0,Post Graduate,1.0,896000,0,no,no,no,no
170,1000171,110001,25,2.0,Under Graduate,1.0,1104000,0,no,no,yes,no
171,1000172,110014,50,3.0,Under Graduate,28.0,88000,0,no,yes,no,no
172,1000173,110001,36,2.0,Under Graduate,13.0,1368000,0,no,no,yes,no
173,1000174,110014,56,4.0,Under Graduate,34.0,336000,0,no,no,yes,no
174,1000175,110001,40,2.0,Graduate,17.0,1344000,0,no,no,yes,yes
175,1000176,110004,43,4.0,Graduate,20.0,680000,0,no,yes,yes,no
176,1000177,110004,50,3.0,Graduate,25.0,352000,1080000,no,no,yes,no
177,1000178,110011,27,4.0,Graduate,3.0,520000,1952000,no,no,no,no
178,1000179,110004,51,4.0,Under Graduate,29.0,192000,0,no,no,yes,no
179,1000180,110011,60,1.0,Under Graduate,37.0,88000,0,no,no,yes,no
180,1000181,110003,49,2.0,Post Graduate,27.0,304000,1312000,no,no,yes,no
181,1000182,110003,34,4.0,Graduate,12.0,80000,648000,no,no,no,no
182,1000183,110004,22,1.0,Under Graduate,0.0,1080000,0,no,no,yes,no
183,1000184,110004,27,3.0,Under Graduate,3.0,1184000,0,no,no,yes,yes
184,1000185,110004,50,2.0,Graduate,26.0,504000,0,no,yes,yes,no
185,1000186,110004,37,1.0,Post Graduate,14.0,920000,0,no,no,yes,no
186,1000187,110011,46,1.0,Under Graduate,23.0,360000,0,no,no,yes,no
187,1000188,110003,44,3.0,Post Graduate,21.0,1272000,2520000,no,no,yes,yes
188,1000189,110003,62,2.0,Under Graduate,40.0,1352000,976000,no,no,yes,no
189,1000190,110004,53,2.0,Under Graduate,29.0,896000,0,no,no,yes,no
190,1000191,110004,58,1.0,Under Graduate,36.0,744000,0,no,no,yes,no
191,1000192,110011,49,1.0,Post Graduate,25.0,232000,1120000,no,no,no,no
192,1000193,110003,48,1.0,Graduate,23.0,680000,0,no,no,yes,no
193,1000194,110011,46,4.0,Under Graduate,24.0,168000,0,no,no,yes,no
194,1000195,110014,51,2.0,Under Graduate,29.0,1152000,0,no,no,yes,no
195,1000196,110001,32,4.0,Under Graduate,10.0,104000,760000,no,yes,yes,no
196,1000197,110003,46,1.0,Under Graduate,24.0,1320000,0,no,no,no,no
197,1000198,110014,53,4.0,Under Graduate,31.0,72000,712000,no,no,yes,no
198,1000199,110001,25,4.0,Under Graduate,3.0,472000,720000,no,yes,yes,no
199,1000200,110004,34,1.0,Post Graduate,11.0,1264000,0,yes,no,yes,yes
200,1000201,110001,30,1.0,Post Graduate,6.0,232000,0,no,no,yes,no
201,1000202,110014,33,2.0,Post Graduate,9.0,160000,0,no,no,yes,no
202,1000203,110001,28,4.0,Graduate,3.0,544000,0,no,no,yes,no
203,1000204,110001,56,4.0,Under Graduate,34.0,520000,0,no,no,yes,no
204,1000205,110003,54,2.0,Graduate,31.0,488000,840000,no,no,no,no
205,1000206,110011,36,4.0,Graduate,12.0,728000,800000,no,no,no,no
206,1000207,110014,47,1.0,Under Graduate,25.0,248000,0,no,yes,yes,no
207,1000208,110011,32,4.0,Graduate,10.0,568000,0,no,no,no,no
208,1000209,110004,38,4.0,Under Graduate,16.0,584000,0,no,no,yes,no
209,1000210,110011,62,4.0,Under Graduate,39.0,1376000,2256000,yes,no,yes,yes
210,1000211,110014,49,2.0,Under Graduate,26.0,160000,0,no,no,no,no
211,1000212,110011,42,1.0,Under Graduate,18.0,440000,0,no,no,no,no
212,1000213,110014,44,2.0,Under Graduate,22.0,552000,1672000,no,no,no,no
213,1000214,110014,55,1.0,Under Graduate,33.0,1240000,0,no,no,yes,no
214,1000215,110004,52,1.0,Graduate,28.0,752000,0,no,no,no,no
215,1000216,110011,36,2.0,Under Graduate,14.0,736000,1992000,no,no,yes,no
216,1000217,110004,25,2.0,Under Graduate,3.0,1000000,0,no,no,no,no
217,1000218,110004,37,3.0,Under Graduate,14.0,592000,0,no,no,no,no
218,1000219,110004,42,3.0,Post Graduate,20.0,576000,0,no,no,yes,no
219,1000220,110004,54,1.0,Post Graduate,30.0,488000,0,no,no,yes,no
220,1000221,110003,30,2.0,Under Graduate,6.0,200000,0,no,no,no,no
221,1000222,110001,43,2.0,Graduate,19.0,664000,0,no,no,yes,no
222,1000223,110001,24,3.0,Under Graduate,2.0,832000,0,no,no,no,no
223,1000224,110003,53,3.0,Post Graduate,25.0,328000,0,no,no,yes,no
224,1000225,110011,50,4.0,Post Graduate,27.0,464000,728000,no,no,no,no
225,1000226,110014,37,1.0,Post Graduate,13.0,744000,0,no,no,no,no
226,1000227,110014,22,2.0,Graduate,-1.0,312000,0,no,no,no,no
227,1000228,110001,45,2.0,Under Graduate,23.0,1184000,0,yes,no,yes,no
228,1000229,110003,45,4.0,Post Graduate,22.0,424000,784000,yes,yes,no,no
229,1000230,110001,46,2.0,Under Graduate,24.0,568000,1160000,no,no,no,no
230,1000231,110001,45,1.0,Graduate,22.0,736000,0,no,no,yes,no
231,1000232,110014,33,4.0,Post Graduate,10.0,488000,0,no,no,yes,no
232,1000233,110001,44,3.0,Graduate,19.0,304000,1080000,no,no,no,no
233,1000234,110011,60,4.0,Under Graduate,37.0,464000,0,no,no,yes,no
234,1000235,110014,24,1.0,Graduate,1.0,640000,1200000,no,no,no,no
235,1000236,110001,36,4.0,Post Graduate,8.0,568000,0,no,no,yes,no
236,1000237,110014,41,3.0,Post Graduate,18.0,712000,0,no,no,yes,no
237,1000238,110011,60,1.0,Post Graduate,38.0,664000,0,no,no,yes,no
238,1000239,110001,55,3.0,Under Graduate,32.0,224000,0,no,no,yes,no
239,1000240,110001,26,4.0,Graduate,3.0,416000,0,no,no,no,no
240,1000241,110014,49,1.0,Under Graduate,26.0,560000,1352000,no,no,no,no
241,1000242,110014,46,1.0,Post Graduate,22.0,568000,0,no,no,no,no
242,1000243,110014,39,1.0,Post Graduate,16.0,600000,2240000,no,no,no,no
243,1000244,110014,63,3.0,Post Graduate,39.0,1360000,792000,yes,no,yes,yes
244,1000245,110014,39,4.0,Under Graduate,17.0,624000,624000,no,no,yes,no
245,1000246,110004,33,2.0,Graduate,11.0,200000,0,no,no,no,no
246,1000247,110011,36,2.0,Post Graduate,14.0,480000,0,no,no,yes,no
247,1000248,110011,51,4.0,Graduate,29.0,960000,888000,yes,yes,yes,yes
248,1000249,110003,53,2.0,Under Graduate,29.0,792000,2112000,no,no,yes,no
249,1000250,110011,24,3.0,Post Graduate,1.0,440000,904000,no,no,no,no
250,1000251,110003,28,3.0,Graduate,6.0,232000,936000,no,no,no,no
251,1000252,110004,52,2.0,Graduate,28.0,1360000,2600000,no,no,yes,yes
252,1000253,110014,63,3.0,Under Graduate,40.0,424000,0,no,no,no,no
253,1000254,110004,45,1.0,Under Graduate,21.0,1104000,0,no,no,no,no
254,1000255,110004,63,3.0,Post Graduate,41.0,1072000,968000,no,no,yes,yes
255,1000256,110003,64,2.0,Post Graduate,40.0,336000,1104000,no,no,no,no
256,1000257,110011,24,4.0,Post Graduate,0.0,792000,0,no,no,no,no
257,1000258,110011,64,3.0,Under Graduate,41.0,144000,0,no,no,no,no
258,1000259,110001,33,4.0,Under Graduate,9.0,192000,0,no,no,yes,no
259,1000260,110003,54,1.0,Under Graduate,30.0,440000,616000,no,no,yes,no
260,1000261,110001,49,1.0,Under Graduate,27.0,464000,0,no,no,no,no
261,1000262,110014,40,2.0,Post Graduate,16.0,888000,2008000,no,no,yes,yes
262,1000263,110014,47,1.0,Post Graduate,23.0,264000,0,yes,no,yes,no
263,1000264,110001,25,4.0,Graduate,1.0,592000,896000,no,no,yes,no
264,1000265,110001,43,2.0,Under Graduate,19.0,304000,0,no,no,no,no
265,1000266,110001,47,4.0,Post Graduate,23.0,184000,784000,no,yes,no,no
266,1000267,110004,61,2.0,Under Graduate,38.0,488000,0,no,no,yes,no
267,1000268,110014,45,1.0,Under Graduate,22.0,648000,1104000,no,no,no,no
268,1000269,110001,62,1.0,Under Graduate,39.0,1032000,0,no,no,yes,no
269,1000270,110001,41,1.0,Post Graduate,13.0,264000,0,no,no,no,no
270,1000271,110003,58,4.0,Under Graduate,36.0,504000,0,no,no,yes,no
271,1000272,110011,38,4.0,Graduate,14.0,560000,0,no,no,yes,no
272,1000273,110004,27,4.0,Under Graduate,3.0,360000,1264000,no,no,yes,no
273,1000274,110014,39,3.0,Post Graduate,16.0,520000,0,no,no,yes,no
274,1000275,110004,28,4.0,Under Graduate,5.0,592000,0,no,yes,no,no
275,1000276,110014,47,4.0,Post Graduate,24.0,400000,0,no,yes,no,no
276,1000277,110004,28,4.0,Post Graduate,5.0,176000,872000,no,no,yes,no
277,1000278,110001,27,4.0,Post Graduate,2.0,240000,0,no,no,no,no
278,1000279,110011,48,4.0,Under Graduate,26.0,168000,0,no,no,yes,no
279,1000280,110014,37,2.0,Under Graduate,14.0,1240000,0,no,no,yes,no
280,1000281,110004,31,4.0,Post Graduate,8.0,512000,1312000,no,no,yes,no
281,1000282,110003,55,4.0,Post Graduate,31.0,520000,0,no,no,no,no
282,1000283,110001,32,4.0,Post Graduate,9.0,568000,0,no,no,yes,no
283,1000284,110003,59,3.0,Graduate,36.0,320000,0,no,yes,yes,no
284,1000285,110003,42,3.0,Post Graduate,19.0,552000,0,no,no,yes,no
285,1000286,110004,38,3.0,Graduate,13.0,552000,0,no,no,no,no
286,1000287,110011,49,3.0,Graduate,25.0,360000,1048000,no,no,yes,no
287,1000288,110003,35,3.0,Graduate,12.0,496000,0,no,no,no,no
288,1000289,110014,42,2.0,Post Graduate,19.0,1376000,3128000,yes,yes,yes,yes
289,1000290,110001,40,3.0,Graduate,15.0,192000,0,no,no,yes,no
290,1000291,110003,49,1.0,Under Graduate,25.0,640000,0,no,no,no,no
291,1000292,110014,41,3.0,Graduate,16.0,64000,704000,no,no,yes,no
292,1000293,110004,28,4.0,Under Graduate,5.0,304000,1032000,no,no,yes,no
293,1000294,110011,43,4.0,Post Graduate,19.0,744000,0,no,no,no,no
294,1000295,110011,33,1.0,Under Graduate,9.0,440000,0,no,no,yes,no
295,1000296,110001,58,2.0,Post Graduate,34.0,512000,0,no,no,no,no
296,1000297,110004,32,1.0,Under Graduate,9.0,976000,0,no,no,yes,no
297,1000298,110004,53,3.0,Post Graduate,25.0,560000,0,no,no,yes,no
298,1000299,110004,41,2.0,Under Graduate,19.0,648000,0,no,no,no,no
299,1000300,110014,39,1.0,Post Graduate,15.0,1272000,0,yes,no,yes,yes
300,1000301,110011,32,4.0,Under Graduate,9.0,560000,0,no,yes,no,no
301,1000302,110004,63,2.0,Under Graduate,39.0,1200000,1568000,no,no,no,no
302,1000303,110014,43,2.0,Under Graduate,21.0,1216000,0,no,no,yes,no
303,1000304,110001,47,4.0,Under Graduate,25.0,1560000,4936000,no,no,no,yes
304,1000305,110011,46,1.0,Under Graduate,23.0,176000,0,no,no,no,no
305,1000306,110004,58,1.0,Under Graduate,35.0,176000,984000,no,no,yes,no
306,1000307,110001,53,3.0,Under Graduate,29.0,632000,0,no,no,yes,no
307,1000308,110001,40,1.0,Post Graduate,18.0,264000,0,no,no,yes,no
308,1000309,110003,30,2.0,Under Graduate,8.0,1024000,0,yes,no,yes,no
309,1000310,110011,60,1.0,Under Graduate,38.0,728000,0,no,yes,yes,no
310,1000311,110011,55,4.0,Under Graduate,32.0,312000,0,no,no,yes,no
311,1000312,110001,50,1.0,Under Graduate,26.0,968000,1336000,no,no,yes,no
312,1000313,110011,34,1.0,Post Graduate,6.0,168000,0,no,yes,yes,no
313,1000314,110004,32,3.0,Under Graduate,9.0,328000,0,no,no,no,no
314,1000315,110003,61,2.0,Post Graduate,37.0,360000,0,no,no,yes,no
315,1000316,110001,22,3.0,Post Graduate,-2.0,408000,0,no,no,yes,no
316,1000317,110003,55,1.0,Graduate,31.0,1320000,0,no,no,yes,yes
317,1000318,110004,38,2.0,Graduate,16.0,952000,0,no,no,yes,yes
318,1000319,110014,25,4.0,Post Graduate,2.0,880000,1520000,no,no,yes,no
319,1000320,110001,63,3.0,Graduate,39.0,160000,0,no,no,no,no
320,1000321,110004,58,1.0,Graduate,34.0,512000,1984000,no,no,no,no
321,1000322,110004,42,3.0,Graduate,20.0,808000,656000,no,no,no,yes
322,1000323,110001,61,1.0,Under Graduate,39.0,808000,0,yes,yes,yes,yes
323,1000324,110004,57,1.0,Under Graduate,34.0,792000,0,no,no,no,yes
324,1000325,110011,54,4.0,Under Graduate,30.0,1264000,0,no,no,no,yes
325,1000326,110014,52,1.0,Graduate,28.0,712000,0,no,no,yes,no
326,1000327,110011,50,1.0,Post Graduate,27.0,640000,0,yes,no,yes,no
327,1000328,110014,56,2.0,Under Graduate,32.0,912000,3216000,no,no,yes,no
328,1000329,110014,58,3.0,Graduate,35.0,392000,0,no,no,yes,no
329,1000330,110011,26,1.0,Under Graduate,4.0,1528000,0,no,no,yes,no
330,1000331,110011,52,4.0,Graduate,30.0,624000,0,no,no,yes,no
331,1000332,110004,30,3.0,Under Graduate,6.0,224000,0,no,no,no,no
332,1000333,110011,57,1.0,Graduate,33.0,336000,0,no,no,yes,no
333,1000334,110004,61,1.0,Under Graduate,38.0,1120000,0,no,no,no,no
334,1000335,110014,46,1.0,Graduate,23.0,360000,0,no,no,yes,no
335,1000336,110014,54,2.0,Under Graduate,32.0,976000,2880000,yes,no,yes,no
336,1000337,110001,34,3.0,Graduate,12.0,520000,0,no,no,yes,no
337,1000338,110003,55,1.0,Post Graduate,27.0,544000,0,no,no,yes,no
338,1000339,110003,27,2.0,Under Graduate,3.0,1224000,3136000,no,no,no,no
339,1000340,110004,37,4.0,Graduate,13.0,712000,0,no,no,no,no
340,1000341,110003,57,1.0,Under Graduate,34.0,728000,0,no,no,yes,no
341,1000342,110001,29,4.0,Graduate,6.0,440000,1480000,no,no,yes,no
342,1000343,110004,41,2.0,Under Graduate,19.0,944000,0,no,no,no,no
343,1000344,110004,33,1.0,Post Graduate,5.0,176000,824000,no,no,no,no
344,1000345,110001,52,3.0,Post Graduate,24.0,504000,1104000,no,no,yes,no
345,1000346,110001,49,4.0,Graduate,27.0,96000,624000,no,yes,yes,no
346,1000347,110004,42,3.0,Graduate,19.0,400000,0,no,no,yes,no
347,1000348,110011,23,2.0,Post Graduate,0.0,344000,0,yes,yes,yes,no
348,1000349,110003,38,4.0,Under Graduate,15.0,1384000,0,yes,no,yes,yes
